Name,Operating Force,End Force,Type,Bottom,Stem,Spring,Pre-travel,Total travel,Links
 ,Aloe,37±15gf,40±5gf,linear,green,green,16.5mm 1-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/nuphy-aloe-l37-low-profile-switches
 ,Cowberry,45±15gf,55±5gf,linear,red,red,15.0mm 2-stage,1.2±0.3mm,3.0±0.2mm,https://nuphy.com/collections/switches/products/nuphy-cowberry-l45-low-profile-switches
 ,Daisy,48±15gf,55±5gf,linear,peach,peach,16.5mm 1-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/nuphy-daisy-l48-low-profile-switches
 ,Red,50±15gf,60±5gf,linear,black,red,13.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,
 ,Red (Milky),50±15gf,60±5gf,linear,milky,red,13.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/gateron-low-profile-v2-switches?variant=40519107182701
 ,Wisteria,50±15gf,55±5gf,tactile,lilac,lilac,16.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/nuphy-wisteria-t55-low-profile-switches
 ,Brown,55±15gf,60±5gf,tactile,black,brown,13.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,
 ,Brown (Milky),55±15gf,60±5gf,tactile,milky,brown,13.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/gateron-low-profile-v2-switches?variant=40519107215469
 ,Moss,55±15gf,60±5gf,tactile,dark green,dark green,16.5mm 1-stage,1.7±0.4mm,3.0±0.2mm,https://nuphy.com/collections/switches/products/nuphy-moss-t60-low-profile-switches
 ,Chocolate,55±15gf,???,tactile,brown,brown,???,1.7±0.4mm,3.2±0.2mm,
 ,Banana,60±15gf,70±5gf,tactile,black,yellow,15.0mm 1-stage,1.7±0.4mm,3.0±0.2mm,
 ,Blue,65±15gf,70±5gf,clicky,black,blue,11.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,
 ,Blue (Milky),65±15gf,70±5gf,clicky,milky,blue,11.5mm 2-stage,1.7±0.4mm,3.2±0.2mm,https://nuphy.com/collections/switches/products/gateron-low-profile-v2-switches?variant=40519107248237
