pic,name,vendor,type,action
 ,Alps SKCC Cream,Alps,Alps,
 ,Alps SKCL Lock,Alps,Alps,
 ,Alps SKCM Blue,Alps,Alps,
 ,Alps SKCM Orange,Alps,Alps,
 ,Alps SKFL,Alps,Alps,
 ,Green Linear Alps Clone,Unknown,Alps,
 ,Kailh Sun Clicky,Kailh,Alps,
 ,Consul 259.6,Consul,Consul,Linear
 ,Consul 262.3,Consul,Consul,Linear
 ,Futaba MA-41 White Momentary clicky Futaba Mount,Futaba,Futaba MA,Clicky
 ,Futaba MA-41 White Momentary clicky MX Mount,Futaba,Futaba MA,Clicky
,Gateron KS-33 Aloe,Gateron,Gateron LP 2.0,
,Gateron KS-33 Blue (black bottom),Gateron,Gateron LP 2.0,
,Gateron KS-33 Blue (black bottom) Clicky,Gateron,Gateron LP 2.0,
,Gateron KS-33 Blue (milky bottom),Gateron,Gateron LP 2.0,
,Gateron KS-33 Brown (milky bottom),Gateron,Gateron LP 2.0,
,Gateron KS-33 Red (black bottom),Gateron,Gateron LP 2.0,
,Gateron KS-33 Red (milky bottom),Gateron,Gateron LP 2.0,
,Gateron KS-33 Silent Brown 2.0,Gateron,Gateron LP 2.0,Tactile
,Gateron KS-33 Silent Red 2.0,Gateron,Gateron LP 2.0,
,Gateron KS-33 Silver,Gateron,Gateron LP 2.0,
,Gateron KS-33 Wisteria,Gateron,Gateron LP 2.0,Tactile
,Gateron KS-33 Blush Nano,Gateron,Gateron LP 3.0,
,Gateron KS-33 Brown Nano,Gateron,Gateron LP 3.0,
,Gateron KS-33 Grey heron,Gateron,Gateron LP 3.0,
 ,HI-TEK 725 Black Clicky Gen 4-5 (2 глаза),NMB,HI-TEK 725,
 ,HI-TEK 725 Green Linear Gen 3-5 (глаза сложной формы),NMB,HI-TEK 725,
 ,HI-TEK 725 Purple Linear Gen 2-4 (1 глаз),NMB,HI-TEK 725,
 ,HI-TEK 725 White Linear Gen 1 (1 глаз),NMB,HI-TEK 725,
 ,HI-TEK 725 White Linear Gen 3-5 (глаза сложной формы),NMB,HI-TEK 725,
 ,HI-TEK 725 White Linear Gen 3-5 (прямоугольные глаза),NMB,HI-TEK 725,
,Kailh Choc V1 Dark Yellow,Kailh,Kailh Choc V1,
,Kailh Choc V1 Pink,Kailh,Kailh Choc V1,
 ,Kailh Choc V1 Red Linear,Kailh,Kailh Choc V1,
,Kailh Choc V1 Sunset,Kailh,Kailh Choc V1,
 ,Kailh Choc V1 Twilight Silent Linear,Kailh,Kailh Choc V1,
,Aula f2090 (choc v1 OEM),K?,Kailh Choc V1 (OEM),
,Kailh Choc V2 Brown(Black bottom),Kailh,Kailh Choc V2,
,Kailh Choc V2 Deep Sea Island,Kailh,Kailh Choc V2,
,Kailh Choc V2 Deep Sea Islet Pink,Kailh,Kailh Choc V2,
,Kailh Choc V2 Deep Sea Whale,Kailh,Kailh Choc V2,
,Kailh Choc V2 Elements Black Cloud,Kailh,Kailh Choc V2,
,Kailh Choc V2 Elements Hide Mountain,Kailh,Kailh Choc V2,
,Kailh Choc V2 Elements White Rain,Kailh,Kailh Choc V2,
,Kailh Choc V2 Four Seasons Autumn,Kailh,Kailh Choc V2,
,Kailh Choc V2 Four Seasons Spring,Kailh,Kailh Choc V2,
,Kailh Choc V2 Four Seasons Summer,Kailh,Kailh Choc V2,
,Kailh Choc V2 Four Seasons Winter,Kailh,Kailh Choc V2,
,Kailh Choc V2 Fruit Durian,Kailh,Kailh Choc V2,
,Kailh Choc V2 Fruit White Peach,Kailh,Kailh Choc V2,
,Kailh Choc V2 Lofree Shadow Ghost,Kailh,Kailh Choc V2,
,Kailh Choc V2 Raptor Saker mini (FALCO)	,Kailh,Kailh Choc V2,
,Raptor Purple Iris,Kailh,Kailh Choc V2,
,winter mini,Kailh,Kailh Choc V2,
 ,Mitsumi miniature mechanical Yellow Cherry MX Mount Tactile,Mitsumi,Mitsumi,
 ,Mitsumi standard mechanical Type 2 Alps mount Tactile,Mitsumi,Mitsumi,
 ,Mitsumi standard mechanical Type 2 Mitsumi mount Tactile,Mitsumi,Mitsumi,
 ,Akko Pink V1,Akko,MX,
 ,Akko V1 Purple,Akko,MX,
 ,Cherry MX Black (2003),Cherry,MX,
 ,Cherry MX Purple,Cherry,MX,
 ,Cherry MX Red,Cherry,MX,Linear
 ,Cherry MX White,Cherry,MX,
 ,EZKB GAZZEW Boba BLACK U4 Silent Tactile,GAZZEW,MX,
 ,Fl.CMMK Pink,Fl.CMMK,MX,
 ,Gateron Clear,Gateron,MX,
 ,Gateron Melodic,Gateron,MX,Clicky
 ,Gateron Milky Yellow,Gateron,MX,
 ,Gateron North Pole 2.0,Gateron,MX,
 ,Gateron Quinn,Gateron,MX,
 ,Gateron Silent Brown,Gateron,MX,
 ,Gateron Silent Ink V2 Red,Gateron,MX,
 ,Gateron Silent Red,Gateron,MX,
 ,Gateron x Aristotle Clicky,Gateron,MX,
 ,Gateron YMDK Oil King V1,Gateron,MX,
 ,Invokeys Hojicha Reserve,Invokeys,MX,
 ,Kailh Mid Height,Kailh,MX,
 ,Kailh Novelkeys Cream Clickie,Kailh,MX,
 ,Kailh x Chosfox Arctic Fox switch,Kailh,MX,
 ,KBDiy Fantasy KB1 Virus,KBDiy,MX,
 ,Keygeek Purple Begonia,Keygeek,MX,
 ,LCET Dreamsea,LCET,MX,
 ,LICHICX Lucy,LICHICX,MX,
 ,Lichicx XCJZ Green Tea Tactile,Lichicx,MX,
 ,Outemu blue alps mount,Outemu,MX,
 ,Outemu blue white bottom,Outemu,MX,
 ,Outemu red,Outemu,MX,Linear
 ,ProWorld Cherry MX clone,ProWorld,MX,Clicky
 ,Taiwan jet axis USw LXBY01 Yellow Linear,Taiwan jet axis,MX,
 ,TTC Bluish White V2,TTC,MX,
 ,TTC Frozen Silent V2,TTC,MX,
 ,Unknown Double action MX clone,Unknown,MX,
 ,Varmilo Iris L,Varmilo,MX,
 ,Zaku II,Bolsa Keyboard Supply,MX,
 ,ZealPC Clickiez 40G,ZealPC,MX,
 ,ZealPC Zealio V2 Switches (Tactile) 62G,ZealPC,MX,
 ,Дарк Проджект: g3ms Onyx v2,Дарк Проджект,MX,
,MK Dose,Kailh,MX x2,
 ,Omron B3G-S Amber Clicky,Omron,Omron,Clicky
 ,Omron B3G-S White Tactile,Omron,Omron,
,HUANO Turquoise Stone,HUANO,Other,
 ,Cherry MY,Cherry,Others,
 ,NEC oval White Linear,NEC,Others,
 ,Unknown Omron B3G-S Clone,Unknown,Others,
 ,ПКт -111-1,Unknown,Others,
 ,"SMK gen 2 ""Monterey"" Alps mount Clicky",SMK,SMK,
