pic,name,vendor,type,action,date
,"SMK gen 2 ""Monterey"" Alps mount ",SMK,SMK,Clicky,26.03.16
,SMK gen 2 inverse cross mount White,SMK,SMK,Tactile,26.03.16
,Alps SKFL,Alps,SKFL,,26.03.16
,??,Alps,SKCM/SKCL,Tactile,26.06.28
,??,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL Grey,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCM Blue,Alps,SKCM/SKCL,Clicky,26.03.16
,Alps SKCM Salmon,Alps,SKCM/SKCL,Tactile,26.06.28
,Alps SKCL Yellow,Alps,SKCM/SKCL,Linear,26.06.28
,??,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL White,Alps,SKCM/SKCL,Clicky,26.06.28
,Alps SKCM Orange,Alps,SKCM/SKCL,Tactile,26.03.16
,Alps SKCM White,Alps,SKCM/SKCL,Clicky,26.06.28
,Alps SKCL Lock Grey,Alps,SKCM/SKCL,Latching,26.06.28
,Alps SKCL Grey (green LED),Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL Heavy Grey,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL White,Alps,SKCM/SKCL,Tactile,26.06.28
,???,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL Green,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCL Compact Green,Alps,SKCL Compact ,Linear,26.06.28
,T4 Green Linear Alps Clone,Alps,SKCM/SKCL,Linear,26.06.28
,Outemu OTM gaote (Red),Outemu,SKCM/SKCL,Linear Silent,26.06.28
,Matias Click (White),Matias,SKCM/SKCL,Clicky,26.06.28
,Alps SKCM Blue,Alps,SKCM/SKCL,Clicky,26.03.16
,Alps SKCL Lock Cream,Alps,SKCM/SKCL,Latching,26.06.28
,Alps SKCL White without click leaf,Alps,SKCM/SKCL,Linear,26.06.28
,Alps SKCM Orange,Alps,SKCM/SKCL,Tactile,26.03.16
,Alps SKCL White,Alps,SKCM/SKCL,Clicky,26.06.28
,Omron Romer-G B3K-L13L Grey,Omron,Romer-G B3K,Linear,26.03.16
,Omron Romer-G B3K-T13-L Blue,Omron,Romer-G B3K,Tactile,26.03.16
,Cherry MY,Cherry,Others,Linear,26.03.16
,Kailh Sun Clicky,Kailh,Others,,26.03.16
,NEC oval White Linear,NEC,Others,,26.03.16
,ПКт -111-1,Unknown,Others,Linear,26.03.16
,HUANO Turquoise Stone,HUANO,Other,,26.03.16
,HUANO Turquoise Stone reverse footprint,HUANO,Other,,26.03.16
,NEC Oval Blue,NEC,NEC Oval,Clicky,26.03.16
,NEC Oval White,NEC,NEC Oval,Linear,26.03.16
,MK Dose,Kailh,MX x2,,26.03.16
,Akko Pink V1,Akko,MX,,26.03.16
,Akko V1 Purple,Akko,MX,,26.03.16
,Cherry MX Black (2003),Cherry,MX,Tactile,26.03.16
,Cherry MX Clear,Cherry,MX,Linear,26.03.16
,Cherry MX Purple,Cherry,MX,Linear,26.03.16
,Cherry MX Red,Cherry,MX,Linear,26.03.16
,Cherry MX White,Cherry,MX,Clicky,26.03.16
,EZKB GAZZEW Boba BLACK U4 Silent Tactile,GAZZEW,MX,Tactile Silent,26.03.16
,Fl.CMMK Pink,Fl.CMMK,MX,Tactile,26.03.16
,Gateron Clear,Gateron,MX,,26.03.16
,Gateron Melodic,Gateron,MX,Clicky,26.03.16
,Gateron Milky Yellow,Gateron,MX,Linear,26.03.16
,Gateron North Pole 2.0,Gateron,MX,Linear,26.03.16
,Gateron Quinn,Gateron,MX,,26.03.16
,Gateron Silent Brown,Gateron,MX,Tactile,26.03.16
,Gateron Silent Ink V2 Red,Gateron,MX,Linear,26.03.16
,Gateron Silent Red,Gateron,MX,Linear,26.03.16
,Gateron x Aristotle Clicky,Gateron,MX,,26.03.16
,Gateron YMDK Oil King V1,Gateron,MX,,26.03.16
,Invokeys Hojicha Reserve,Invokeys,MX,,26.03.16
,Kailh Mid Height,Kailh,MX,,26.03.16
,Kailh Novelkeys Cream Clickie,Kailh,MX,,26.03.16
,Kailh x Chosfox Arctic Fox switch,Kailh,MX,,26.03.16
,KBDiy Fantasy KB1 Virus,KBDiy,MX,,26.03.16
,Keygeek Purple Begonia,Keygeek,MX,,26.03.16
,LCET Dreamsea,LCET,MX,,26.03.16
,LICHICX Lucy,LICHICX,MX,,26.03.16
,Lichicx XCJZ Green Tea Tactile,Lichicx,MX,,26.03.16
,Outemu blue alps mount,Outemu,MX,,26.03.16
,Outemu blue white bottom,Outemu,MX,,26.03.16
,Outemu red,Outemu,MX,Linear,26.03.16
,ProWorld Cherry MX clone,ProWorld,MX,Clicky,26.03.16
,Taiwan jet axis USw LXBY01 Yellow Linear,Taiwan jet axis,MX,,26.03.16
,TTC Bluish White V2,TTC,MX,,26.03.16
,TTC Frozen Silent V2,TTC,MX,,26.03.16
,Unknown Double action MX clone,Unknown,MX,,26.03.16
,Varmilo Iris L,Varmilo,MX,,26.03.16
,Zaku II,Bolsa Keyboard Supply,MX,,26.03.16
,ZealPC Clickiez 40G,ZealPC,MX,,26.03.16
